CityCode,RegionCode,CityName,RegionId
4934,vic,Camberwell,9B998939-7B47-4288-B16E-46A59FA9E9F9
13162,mi ,Decatur,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13163,mi ,Petoskey,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13164,mi ,Pellston,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13165,mi ,Alanson,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13166,mi ,Indian River,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13167,mi ,East Jordan,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13168,mi ,Kingsford,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13169,mi ,Carney,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13170,mi ,Flat Rock,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13171,mi ,Nashville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13172,mi ,Sebewaing,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5119,vic,Noble Park,9B998939-7B47-4288-B16E-46A59FA9E9F9
13173,mi ,Owendale,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13174,mi ,Gladwin,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13175,mi ,Spring Arbor,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13177,mi ,Remus,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13178,mi ,Goodells,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13180,mi ,Lambertville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13181,mi ,Oscoda,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13199,mi ,Iron Mountain,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13359,mi ,Otsego,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13391,mi ,Paw Paw,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13665,mi ,White Lake,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13751,mi ,Mackinaw City,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13752,mi ,Whitmore Lake,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13753,mi ,Beaver Island,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
13754,mi ,Carsonville,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
14777,mi ,Evart,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
14778,mi ,Sanford,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
14881,mi ,Montague,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
14963,mi ,East Tawas,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
14967,mi ,Bridgman,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
14978,mi ,Frankenmuth,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15012,mi ,Inkster,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15048,mi ,Byron Center,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15049,mi ,Comstock Park,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15050,mi ,Sand Lake,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
5601,vic,Melbourne,9B998939-7B47-4288-B16E-46A59FA9E9F9
15052,mi ,Rockford,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15053,mi ,Alto,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15232,mi ,Clio,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15312,mi ,Berkley,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15325,mi ,Perry,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15387,mi ,Saranac,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15388,mi ,Sparta,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
15400,mi ,Central Lake,78B11A8C-2D29-4FA5-A9B8-7115DC8CAEBE
